"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"15",1.23,4.11,"Arg",1,0.05,24.5,100.695,"TM",1000,24,1,233.3658,0.431489961253963,0.69905216,699.05216,NA,NA,301.633989432899
"16",1.55,4.11,"Arg",1,0.05,31,127.5744,"T",0,16,1,233.3658,0.546671363156041,0.69905216,699.05216,NA,NA,382.151797224375
"17",1.66,4.11,"Arg",1,0.05,33.3,136.6986,"T",100,16,1,233.3658,0.585769637196196,0.69905216,699.05216,NA,NA,409.483530144417
"18",1.43,4.11,"Arg",1,0.05,28.5,117.2172,"T",1000,16,1,233.3658,0.502289538569919,0.69905216,699.05216,NA,NA,351.126586882705
"19",1.9,4.11,"Arg",1,0.05,38.1,156.5088,"T",0,18,1,233.3658,0.670658682634731,0.69905216,699.05216,NA,NA,468.825400718563
"20",1.36,4.11,"Arg",1,0.05,27.1,111.4632,"T",100,18,1,233.3658,0.477632969355407,0.69905216,699.05216,NA,NA,333.890358915111
"21",1.69,4.11,"Arg",1,0.05,33.8,139.0824,"T",1000,18,1,233.3658,0.595984501585065,0.69905216,699.05216,NA,NA,416.624253159563
"22",1.81,4.11,"Arg",1,0.05,36.2,148.6998,"T",0,20,1,233.3658,0.637196195843607,0.69905216,699.05216,NA,NA,445.433377048257
"23",1.38,4.11,"Arg",1,0.05,27.5,113.1894,"T",100,20,1,233.3658,0.48502994011976,0.69905216,699.05216,NA,NA,339.061227305389
"24",1.62,4.11,"Arg",1,0.05,32.4,133.164,"T",1000,20,1,233.3658,0.570623458964424,0.69905216,699.05216,NA,NA,398.895561535752
"25",1.66,4.11,"Arg",1,0.05,33.2,136.452,"T",0,22,1,233.3658,0.584712927087002,0.69905216,699.05216,NA,NA,408.744834660092
"26",1.69,4.11,"Arg",1,0.05,33.8,138.918,"T",100,22,1,233.3658,0.595280028178936,0.69905216,699.05216,NA,NA,416.131789503346
"27",1.51,4.11,"Arg",1,0.05,30.2,124.122,"T",1000,22,1,233.3658,0.531877421627334,0.69905216,699.05216,NA,NA,371.810060443818
