timepoint,EV_0_1,EV_100_1,EV_1000_1,TP53R175H_0_1,TP53R175H_100_1,TP53R175H_1000_1,EV_0_2,EV_100_2,EV_1000_2,TP53R175H_0_2,TP53R175H_100_2,TP53R175H_1000_2,EV_0_3,EV_100_3,EV_1000_3,TP53R175H_0_3,TP53R175H_100_3,TP53R175H_1000_3,MYC_0_1,MYC_100_1,MYC_1000_1,TM_0_1,TM_100_1,TM_1000_1,MYC_0_2,MYC_100_2,MYC_1000_2,TM_0_2,TM_100_2,TM_1000_2,MYC_0_3,MYC_100_3,MYC_1000_3,TM_0_3,TM_100_3,TM_1000_3
35,70.23536,66.02232,73.3266,69.51872,72.17981,71.91109,68.70276,73.64851,74.40932,74.46507,76.61546,74.78304,69.49389,75.04918,76.68362,76.4902,78.93377,77.72343,75.89661,83.35703,84.22497,78.12193,73.0582,78.41772,76.94158,84.10091,77.83177,81.16794,78.28739,77.49039,72.66747,79.3002,76.00269,63.23441,62.44827,65.94367
36,72.29694,68.07413,74.86843,71.21535,74.52261,73.5836,71.04624,75.40332,76.70081,76.82651,78.77023,75.99036,71.80109,76.2222,78.68334,78.15614,80.79846,79.12397,78.37623,85.04567,85.82133,80.38584,74.76923,79.38915,78.61167,85.4305,79.07096,83.78723,79.93906,79.29719,74.27461,81.03442,77.68816,65.47107,64.3931,67.69077
37,73.43388,69.51329,75.60918,72.32226,75.10506,74.81063,72.38693,76.44936,77.60769,77.47404,79.6339,77.12071,72.95286,77.74482,79.5183,78.94145,81.93053,80.01131,78.83463,86.3429,86.09347,82.30626,75.21702,80.97853,80.25086,86.36584,79.61851,85.03391,81.3521,81.04374,75.41039,81.94242,78.71641,66.12224,64.42537,69.06747
38,74.19776,71.36757,77.37567,74.00199,76.90537,76.06431,73.59608,77.63806,78.22731,79.8101,80.97132,78.24242,74.55984,78.887,80.28915,80.54548,83.60126,81.20751,79.92558,87.23868,87.47636,84.04012,76.83002,82.60436,82.34956,88.01034,80.3746,86.76774,82.09827,82.20366,77.11058,83.45914,79.64265,68.4025,65.80759,70.18215
39,75.97167,72.93691,78.65168,75.53278,78.95751,77.26781,74.9994,78.8014,79.03997,81.50426,82.73492,79.68652,76.39926,79.52413,81.44356,82.5103,84.9723,82.76848,81.39018,88.51957,88.39674,85.56095,78.0692,84.05664,83.74446,88.35349,81.90395,88.30022,83.74703,83.74081,78.18904,84.40676,81.19875,70.03929,67.42378,71.72164
40,77.53823,74.68009,79.96705,76.70747,79.86384,79.19846,76.97924,80.18914,81.03794,82.3934,83.4694,80.76066,77.93497,80.7467,83.27766,83.28333,86.34346,84.0674,82.63628,89.78723,89.23505,87.01321,79.03073,85.20598,85.22728,89.94027,83.0577,89.87402,84.47089,85.0159,79.99689,85.37564,81.73954,72.35323,68.37856,73.43828
41,78.87801,76.2958,81.47019,78.35897,81.42251,80.09174,77.87397,80.82651,81.91397,83.94438,85.08049,81.96391,79.57465,81.91417,84.23499,84.81853,87.42354,85.45576,83.74031,90.55387,90.23486,88.59452,80.42109,86.246,84.86198,90.5937,84.3321,91.49654,85.51869,85.96806,80.18211,86.43797,82.88491,74.1277,69.55279,74.79533
42,79.99183,77.52047,82.52896,79.66927,82.54514,81.31099,79.0426,82.58095,83.93697,85.38416,86.34608,82.59842,81.02088,83.22522,86.10846,85.86004,88.40854,86.28484,84.75664,91.77132,91.15183,89.9882,81.87943,87.95789,86.53465,91.52776,85.43606,92.36179,86.82244,87.27888,82.24178,87.72615,84.59908,75.85094,71.35799,76.65241
43,81.60538,78.8832,83.35957,80.99318,83.71919,82.52361,80.72604,83.92456,84.56241,85.97971,87.14982,83.66137,82.31426,84.13579,86.61582,86.54233,89.38037,87.37587,86.32674,92.49308,91.93743,91.1616,82.1647,88.67793,88.36476,92.55899,86.33447,93.06297,87.35904,88.17914,83.07616,88.31397,85.56303,77.04342,71.66473,77.68697
44,82.73844,80.00772,85.34602,82.81396,85.24009,83.66553,82.30073,84.64445,86.14751,87.10944,88.77805,85.00808,83.86569,84.72986,87.63948,87.8009,90.06238,87.81202,87.48132,93.08521,92.75027,92.00658,83.54318,90.07978,89.17677,93.01926,87.02441,93.91129,88.54002,89.26225,84.52366,89.42024,86.91638,79.15542,73.67124,79.07376
