rxn,rxnName,subsystem,associated_genes,mean_sample_TP53R248Q_MYC_0,mean_sample_TP53R248Q_MYC_1000,std_sample_TP53R248Q_MYC_0,std_sample_TP53R248Q_MYC_1000,ks_stats,ks_pVal,cohen_effect,log2FC,raw_diff,mets_in,mets_out
MAR02312,"Long-Chain-Fatty-Acid---Coa Ligase",Fatty acid oxidation,ENSG00000068366 or ENSG00000123983 or ENSG00000140284 or ENSG00000151726,0.472703739723434,0.0116307695034651,1.21105264404333,0.364586623545272,-0.761,4.70926788036554e-255,0.515564227392412,5.34491782315973+0i,0.461072970219969,MAM01371c; MAM01597c; MAM02675c,MAM01334c; MAM02759c; MAM00051c
MAR00226,"",Fatty acid activation (cytosolic),ENSG00000068366 or ENSG00000123983 or ENSG00000140284 or ENSG00000151726,0.476726449664282,0.0119327395072483,1.21054796535339,0.364618669272246,-0.763,2.15969440703188e-256,0.519919555098422,5.32016447225642+0i,0.464793710157034,MAM01334c; MAM02677c; MAM02759c,MAM01371c; MAM01597c; MAM02675c
MAR07684,"",Transport reactions,ENSG00000173638,-2.12350142441079,-0.0295258484479867,1.80851342577265,0.424838048870018,0.815,1.98903001069221e-292,1.59404666535622,6.16832274902632+0i,-2.09397557596281,MAM01830c; MAM02147e,MAM01830e; MAM02147c
MAR08925,"",Transport reactions,ENSG00000090020,0.118255397221044,0.322334464765638,0.203814012466191,0.43545982558139,0.939,0,0.600277455472093,-1.44665242280652+0i,-0.204079067544594,MAM02519e; MAM02578c,MAM02519c; MAM02578e
MAR05031,"",Transport reactions,ENSG00000112759,0.20397633306325,0.489215679335125,0.211867228517831,0.484385857581874,0.702,3.80160593346858e-217,0.762992063667689,-1.26206887380793+0i,-0.285239346271875,MAM01280c,MAM01280m
MAR04083,"ATP:adenosine 5'-phosphotransferase",Nucleotide metabolism,ENSG00000156110 or ENSG00000156136,0.205125696461201,0.489509819452082,0.207608499042001,0.484438244878857,0.702,3.80160593346858e-217,0.763077286854704,-1.25482956812796+0i,-0.28438412299088,MAM01280m; MAM01371m,MAM01285m; MAM01334m; MAM02039m
MAR08450,"",Nucleotide metabolism,ENSG00000162368,0.000802344789561412,0.487075500951297,0.0143480250780253,0.485576535693781,0.996,0,1.41562456616199,-9.24570736906614+0i,-0.486273156161735,MAM01643c; MAM01680c,MAM01644c; MAM01688c
MAR04572,"ATP:dGDP phosphotransferase",Purine metabolism,ENSG00000103024 or ENSG00000103202 or ENSG00000112981 or ENSG00000143156 or ENSG00000172113 or ENSG00000239672 or ENSG00000243678,0.000777265389310437,0.486532504058616,0.01434810590189,0.485856321582474,0.872,0,1.41330318708493,-9.28991319965014+0i,-0.485755238669305,MAM01285m; MAM01688m,MAM01371m; MAM01680m
MAR08456,"",Nucleotide metabolism,ENSG00000162368,-0.19166608180019,-0.48624129750929,0.213757133782357,0.486408273347008,-0.699,2.66537625005416e-215,0.784092335701482,-1.34307737675568+0i,0.294575215709099,MAM01643c; MAM03106c,MAM01644c; MAM03130c
MAR05585,"",Transport reactions,ENSG00000103064 or ENSG00000103257,-0.160769470795658,-0.451717248430789,0.215697824399201,0.506609050157368,-0.962,0,0.74727593885509,-1.49042652990802+0i,0.290947777635132,MAM02125c; MAM02658e,MAM02125e; MAM02658c
MAR04422,"L-ornithine carboxy-lyase (putrescine-forming)",Arginine and proline metabolism,ENSG00000115758,0.151228958607085,0.45010864297811,0.202917193301962,0.507400519048654,0.965,0,0.773471269419228,-1.5735388420657+0i,-0.298879684371025,MAM02039e; MAM02658e,MAM01596e; MAM02812e
MAR01869,"Exchange of 4-Ammoniobutanal",Exchange/demand reactions,,0.148594713763724,0.446304878862604,0.19964952227092,0.50857118112271,0.96,0,0.770607379103547,-1.58664678464409+0i,-0.297710165098879,MAM00969e,
MAR04423,"Putrescine:oxygen oxidoreductase (deaminating)",Arginine and proline metabolism,ENSG00000131480,0.148594713763724,0.446304878862604,0.19964952227092,0.50857118112271,0.96,0,0.770607379103547,-1.58664678464409+0i,-0.297710165098879,MAM02040e; MAM02630e; MAM02812e,MAM00969e; MAM02039e; MAM02041e; MAM02578e
MAR09354,"",Exchange/demand reactions,,0.148594713763724,0.446304878862604,0.19964952227092,0.50857118112271,0.96,0,0.770607379103547,-1.58664678464409+0i,-0.297710165098879,MAM02041e,
MAR07818,"",Transport reactions,ENSG00000125454,0.00468210172008672,-0.451391294221129,0.0963899874507498,0.579424389977417,-0.86,0,1.09805805572838,-6.59107850618899+4.53236014182719i,0.456073395941215,MAM01680c; MAM01747m,MAM01680m; MAM01747c
MAR00102,"C160 Transport into the Mitochondria",Fatty acid oxidation,ENSG00000178537,-0.472770446052393,-0.0406852686032515,1.21103722125191,0.583234777204724,0.877,0,0.454603165116088,3.53856143172774+0i,-0.432085177449141,MAM02411c,MAM02411m
MAR02626,"palmitoyl-CoA:L-carnitine O-palmitoyltransferase",Carnitine shuttle (cytosolic),ENSG00000110090,0.472770446052393,0.0406852686032515,1.21103722125191,0.583234777204724,-0.877,0,0.454603165116088,3.53856143172774+0i,0.432085177449141,MAM01597c; MAM02411c,MAM02348c; MAM02678c
MAR02630,"palmitoyl-CoA:L-carnitine O-palmitoyltransferase",Carnitine shuttle (mitochondrial),ENSG00000095321 or ENSG00000157184,-0.472770446052393,-0.0406852686032515,1.21103722125191,0.583234777204724,0.877,0,0.454603165116088,3.53856143172774+0i,-0.432085177449141,MAM01597m; MAM02411m,MAM02348m; MAM02678m
